feature,weight,abs_weight
moon_saturn_tension_lag_22,-0.020800683914867023,0.020800683914867023
moon_mercury_tension_lag_19,-0.019816308014680407,0.019816308014680407
moon_neptune_tension_lag_16,-0.019689725256093166,0.019689725256093166
moon_mars_tension_lag_25,-0.016404196667643325,0.016404196667643325
moon_pluto_tension_lag_4,-0.016047887906280103,0.016047887906280103
