date,slow_tension,vix,regime_structural,regime_panic,cascade_risk,vix_future_max_5d
1990-01-02,50.0,17.239999771118164,0,0,0,20.110000610351562
1990-01-03,50.0,18.190000534057617,0,0,0,20.260000228881836
1990-01-04,50.0,19.219999313354492,0,0,0,22.200000762939453
1990-01-05,50.0,20.110000610351562,0,0,0,22.440000534057617
1990-01-06,50.0,20.110000610351562,0,0,0,22.440000534057617
1990-01-07,50.0,20.110000610351562,0,0,0,24.639999389648438
1990-01-08,50.0,20.260000228881836,0,0,0,24.639999389648438
1990-01-09,50.0,22.200000762939453,0,0,0,24.639999389648438
1990-01-10,50.0,22.440000534057617,0,0,0,26.34000015258789
1990-01-11,50.0,20.049999237060547,0,0,0,26.34000015258789
1990-01-12,50.0,24.639999389648438,0,0,0,26.34000015258789
1990-01-13,50.0,24.639999389648438,0,0,0,26.34000015258789
1990-01-14,50.0,24.639999389648438,0,0,0,26.34000015258789
1990-01-15,50.0,26.34000015258789,0,1,0,24.34000015258789
1990-01-16,50.0,24.18000030517578,0,0,0,24.34000015258789
1990-01-17,50.0,24.15999984741211,0,0,0,26.700000762939453
1990-01-18,50.0,24.34000015258789,0,0,0,26.700000762939453
1990-01-19,50.0,22.5,0,0,0,26.700000762939453
1990-01-20,50.0,22.5,0,0,0,26.700000762939453
1990-01-21,50.0,22.5,0,0,0,26.700000762939453
1990-01-22,50.0,26.700000762939453,0,1,0,26.280000686645508
1990-01-23,50.0,24.719999313354492,0,0,0,26.280000686645508
1990-01-24,50.0,25.389999389648438,0,0,0,26.440000534057617
1990-01-25,50.0,25.6299991607666,0,1,0,27.25
1990-01-26,50.0,26.280000686645508,0,1,0,27.25
1990-01-27,50.0,26.280000686645508,0,1,0,27.25
1990-01-28,50.0,26.280000686645508,0,1,0,27.25
1990-01-29,50.0,26.440000534057617,0,1,0,27.25
1990-01-30,3.3333333333333335,27.25,0,1,0,25.360000610351562
1990-01-31,3.225806451612903,25.360000610351562,0,0,0,24.8700008392334
1990-02-01,3.125,24.8700008392334,0,0,0,24.690000534057617
1990-02-02,3.0303030303030303,24.31999969482422,0,0,0,24.690000534057617
1990-02-03,2.9411764705882355,24.31999969482422,0,0,0,24.690000534057617
1990-02-04,2.857142857142857,24.31999969482422,0,0,0,24.690000534057617
1990-02-05,2.7777777777777777,24.540000915527344,0,0,0,24.690000534057617
1990-02-06,2.7027027027027026,24.690000534057617,0,0,0,24.290000915527344
1990-02-07,2.6315789473684212,24.290000915527344,0,0,0,24.3799991607666
1990-02-08,2.5641025641025643,23.770000457763672,0,0,0,24.3799991607666
1990-02-09,2.5,23.690000534057617,0,0,0,24.3799991607666
1990-02-10,2.4390243902439024,23.690000534057617,0,0,0,24.3799991607666
1990-02-11,2.380952380952381,23.690000534057617,0,0,0,24.3799991607666
1990-02-12,2.3255813953488373,24.3799991607666,0,0,0,23.760000228881836
1990-02-13,2.272727272727273,23.760000228881836,0,0,0,22.049999237060547
1990-02-14,2.2222222222222223,22.049999237060547,0,0,0,20.780000686645508
1990-02-15,2.1739130434782608,19.709999084472656,0,0,0,22.780000686645508
1990-02-16,2.127659574468085,20.780000686645508,0,0,0,23.889999389648438
1990-02-17,2.0833333333333335,20.780000686645508,0,0,0,23.889999389648438
1990-02-18,2.0408163265306123,20.780000686645508,0,0,0,23.889999389648438
1990-02-19,2.0,20.780000686645508,0,0,0,23.889999389648438
1990-02-20,1.9607843137254901,22.780000686645508,0,0,0,23.889999389648438
1990-02-21,1.9230769230769231,23.889999389648438,0,0,0,23.690000534057617
1990-02-22,1.8867924528301887,22.540000915527344,0,0,0,23.690000534057617
1990-02-23,1.8518518518518519,23.690000534057617,0,0,0,23.690000534057617
1990-02-24,1.8181818181818181,23.690000534057617,0,0,0,23.690000534057617
1990-02-25,1.7857142857142858,23.690000534057617,0,0,0,23.559999465942383
1990-02-26,1.7543859649122806,23.559999465942383,0,0,0,22.690000534057617
1990-02-27,1.7241379310344827,22.690000534057617,0,0,0,21.989999771118164
1990-02-28,1.694915254237288,21.989999771118164,0,0,0,22.030000686645508
1990-03-01,1.6666666666666667,21.899999618530273,0,0,0,22.030000686645508
1990-03-02,1.639344262295082,21.34000015258789,0,0,0,22.030000686645508
1990-03-03,1.6129032258064515,21.34000015258789,0,0,0,22.030000686645508
1990-03-04,1.5873015873015872,21.34000015258789,0,0,0,22.030000686645508
1990-03-05,1.5625,22.030000686645508,0,0,0,20.549999237060547
1990-03-06,1.5384615384615385,20.549999237060547,0,0,0,20.299999237060547
1990-03-07,2.2727272727272725,19.100000381469727,0,0,0,20.299999237060547
1990-03-08,5.970149253731344,19.739999771118164,0,0,0,21.049999237060547
1990-03-09,8.823529411764707,20.299999237060547,0,0,0,21.049999237060547
1990-03-10,11.594202898550725,20.299999237060547,0,0,0,21.049999237060547
1990-03-11,14.285714285714286,20.299999237060547,0,0,0,21.049999237060547
1990-03-12,16.901408450704224,20.06999969482422,0,0,0,21.049999237060547
1990-03-13,19.444444444444443,21.049999237060547,0,0,0,19.649999618530273
1990-03-14,20.54794520547945,19.649999618530273,0,0,0,18.809999465942383
1990-03-15,22.972972972972972,18.809999465942383,0,0,0,19.059999465942383
1990-03-16,24.0,17.6200008392334,0,0,0,20.100000381469727
1990-03-17,26.315789473684212,17.6200008392334,0,0,0,22.739999771118164
1990-03-18,27.272727272727273,17.6200008392334,0,0,0,22.739999771118164
1990-03-19,29.48717948717949,18.290000915527344,0,0,0,22.739999771118164
1990-03-20,30.37974683544304,19.059999465942383,0,0,0,22.739999771118164
