date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto
1990-01-01,280.31030770547716,326.5613919753703,295.80102868102665,306.2870552271775,249.65325575789277,95.21033522427862,285.604116682847,275.76123328347086,282.0248841473337,227.08301465220276
1990-01-02,281.32978279056243,340.0307707682317,295.5063603383764,306.1568162185546,250.3569979125874,95.07587117592269,285.7223899365457,275.82122756134095,282.0627767100862,227.1102530800028
1990-01-03,282.34919013474644,353.70201046583014,295.01358758811523,305.9845065223082,251.06128697091341,94.94200978569427,285.8407423907621,275.8811343074355,282.10066400431606,227.1370166704916
1990-01-04,283.3685168677643,7.579406270918977,294.32647030736393,305.77026121275213,251.76612923054745,94.80886268714093,285.95916056438233,275.9409473875387,282.13854375345204,227.16330637826178
1990-01-05,284.3877553121871,21.659299144432673,293.456541898828,305.5144740442969,252.47153433981444,94.67654058455733,286.0776327094615,276.0006622400522,282.1764151415688,227.18912474937616
1990-01-06,285.406901595318,35.92260399434342,292.42379308632184,305.21782498014073,253.17751330735285,94.54515095497504,286.19614685422107,276.06027387443777,282.2142768056157,227.21447386721618
1990-01-07,286.4259538789419,50.328456899260296,291.2565558895725,304.88130530420096,253.88407620026953,94.41479569633984,286.31468865871074,276.11977469282203,282.2521246580402,227.23935312477303
1990-01-08,287.44491074580463,64.81158243839211,289.9904145335034,304.5062391392735,254.59123015069088,94.28556941307363,286.43323972878267,276.179152787095,282.2899501941118,227.2637574817184
1990-01-09,288.46377037296526,79.28547149050411,288.6661523809033,304.0943000293578,255.2989784073965,94.15755912284095,286.5517771334364,276.2383914640848,282.3277400378635,227.28767696685694
1990-01-10,289.4825308915456,93.65174068735773,287.32696901646034,303.64752105177837,256.00732092707307,94.03084585247363,286.6702745884431,276.29747046688743,282.3654771940482,227.31109790189115
1990-01-11,290.5011916977312,107.81366592647001,286.01539190388417,303.16829678476864,256.71625629702316,93.90550777977207,286.7887050161526,276.35636860101886,282.4031437110905,227.33400555897148
1990-01-12,291.5197548137925,121.69012779460121,284.77038596200185,302.6593756797586,257.42578400604873,93.78162371130111,286.9070433833209,276.4150666575036,282.4407236408626,227.3563871405387
