date,sun_moon_tension,sun_mercury_tension,sun_venus_tension,sun_mars_tension,sun_jupiter_tension,sun_saturn_tension,sun_uranus_tension,sun_neptune_tension,sun_pluto_tension,moon_mercury_tension,moon_venus_tension,moon_mars_tension,moon_jupiter_tension,moon_saturn_tension,moon_uranus_tension,moon_neptune_tension,moon_pluto_tension,mercury_venus_tension,mercury_mars_tension,mercury_jupiter_tension,mercury_saturn_tension,mercury_uranus_tension,mercury_neptune_tension,mercury_pluto_tension,venus_mars_tension,venus_jupiter_tension,venus_saturn_tension,venus_uranus_tension,venus_neptune_tension,venus_pluto_tension,mars_jupiter_tension,mars_saturn_tension,mars_uranus_tension,mars_neptune_tension,mars_pluto_tension,jupiter_saturn_tension,jupiter_uranus_tension,jupiter_neptune_tension,jupiter_pluto_tension,saturn_uranus_tension,saturn_neptune_tension,saturn_pluto_tension,uranus_neptune_tension,uranus_pluto_tension,neptune_pluto_tension,global_tension
1990-01-14,0.0,0.0,0.0,0.0,0.0,0.2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3635,0.1888,0.6644,0.0,0.0,0.1868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0251,0.0,0.0,0.0,0.5311,0.6739,0.2964,0.0,0.0,2.87
1990-01-15,0.0,0.0,0.0973,0.0,0.0,0.0901,0.0,0.0,0.0,0.1755,0.0,0.0,0.0,0.0,0.0771,0.2237,0.0,0.0,0.0,0.0,0.2592,0.2803,0.6029,0.0,0.0,0.1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9889,0.0,0.0,0.0,0.5184,0.6914,0.2994,0.0,0.0,3.06
1990-01-16,0.1646,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0343,0.1712,0.3565,0.5392,0.0,0.0,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9531,0.0,0.0,0.0,0.5057,0.7089,0.3025,0.0,0.0,3.26
1990-01-17,0.0,0.0,0.2955,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.0,0.0,1.0246,0.0,1.5178,0.2351,0.0,0.0,0.0,0.0863,0.1,0.4171,0.4891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9177,0.0,0.0,0.0,0.493,0.7134,0.3055,0.0,0.0,4.87
1990-01-18,0.0,0.0,0.3954,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0263,0.0,1.722,0.0,0.4865,0.0,0.0,0.0,0.12,0.0456,0.462,0.4523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8827,0.0,0.0,0.0,0.4803,0.6957,0.3085,0.0,0.0,4.23
1990-01-19,1.0168,0.0,0.4846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7024,0.0,0.1511,0.0,0.0,0.0,0.0,0.0,0.0,0.1357,0.0075,0.4917,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8483,0.0,0.0,0.0,0.4677,0.678,0.3114,0.0,0.0,3.97
1990-01-20,0.0,0.0,0.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.1417,0.0,0.0,0.0,0.0,0.0,0.324,0.3732,0.0,0.0,0.1343,0.0,0.5068,0.4173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8143,0.0,0.0,0.0,0.455,0.6602,0.3144,0.0,0.0,3.14
1990-01-21,0.0,0.0,0.2849,0.0,0.2436,0.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.3172,0.0,0.0,0.1169,0.0,0.5082,0.4177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7808,0.0,0.0,0.0,0.4424,0.6423,0.3173,0.0,0.0,2.84
1990-01-22,0.0031,0.0,0.1859,0.0,0.5355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0846,0.0,0.4969,0.4291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7479,0.0,0.0,0.0,0.4297,0.6244,0.3202,0.0,0.0,2.68
1990-01-23,0.0,0.0,0.0877,0.0,0.7334,0.0,0.0,0.0,0.0,0.0,0.0,0.0686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0013,0.4738,0.4505,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.1176,0.0,0.0,0.0,0.0,0.0,0.7155,0.0,0.0,0.0,0.4171,0.6064,0.3231,0.0,0.0,2.8
1990-01-24,0.0,0.0,0.0,0.0,0.4429,0.0,0.0,0.0,0.0,0.0,0.0,0.4271,1.0267,0.0,0.1749,0.0,0.0,0.0,0.0,0.0,0.0312,0.44,0.4812,0.0,0.0,0.0,0.0673,0.0,0.0,0.0,0.249,0.0,0.0,0.0,0.0,0.0,0.6837,0.0,0.0,0.0,0.4045,0.5884,0.326,0.0,0.0,3.71
1990-01-25,0.0,0.0,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.5153,0.0,0.0,0.0,0.4012,0.3202,1.0006,0.0,0.0,0.0,0.0,0.0716,0.3963,0.5202,0.0,0.0,0.0,0.1281,0.0,0.0,0.0,0.3801,0.0,0.0,0.0,0.0,0.0,0.6525,0.0,0.0,0.0,0.392,0.5703,0.3288,0.0,0.0,4.05
1990-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4829,0.0,0.0,0.0948,0.0,0.0,0.0,0.0,0.0,0.0,0.1216,0.3437,0.5669,0.0,0.0,0.0,0.1867,0.0,0.0,0.0,0.5108,0.0,0.0,0.0,0.0,0.0,0.6218,0.0,0.0,0.0,0.3794,0.5522,0.3316,0.0,0.0,2.91
1990-01-27,0.5882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1803,0.283,0.6206,0.0,0.0,0.0,0.2426,0.0,0.0,0.0,0.6412,0.0,0.0,0.0,0.0,0.0,0.5918,0.0,0.0,0.0,0.3669,0.5341,0.3344,0.0,0.0,3.04
